OBJECTID,SHAPE,BEZ,BEZ_N,STRNAM,HNR,HNR_BIS,FUNDKATEGORIE,FUNDKATEGORIE_N,FUNDE,DATIERUNG,DATIERUNG_N,k-means_PC1,k-means_PC2,k-means_UMAP1,k-means_UMAP2,k-means(FUNDE),dbscan_PC1,dbscan_PC2,dbscan_UMAP1,dbscan_UMAP2,dbscan(FUNDE),agnes_PC1,agnes_PC2,agnes_UMAP1,agnes_UMAP2,agnes(FUNDE),"k-means(BEZ_N, FUNDKATEGORIE_N)","dbscan(BEZ_N, FUNDKATEGORIE_N)","agnes(BEZ_N, FUNDKATEGORIE_N)","k-means(BEZ_N, DATIERUNG_N)","dbscan(BEZ_N, DATIERUNG_N)","agnes(BEZ_N, DATIERUNG_N)"
4548011,POINT (16.382678029141324 48.20839722940847),1,0.0,Oskar-Kokoschka-Platz,2,,2,0.25,kanal keramik schmelztiegel tierknochen ziegel,12,0.34375,-0.1062130274265678,-0.0760753699392903,-28.824202,1.0993031,0,-0.1062132078920724,-0.0760751117408671,-7.5364985,33.086876,-1,-0.1062131588085234,-0.0760751397050203,31.695135,0.8492342,0,0,1,1,1,1,0
4548012,POINT (16.36780592459297 48.210515029384965),1,0.0,Bognergasse,,,2,0.25,legionslagermauer mauerwerk ziegel keramik metall pferdegeschirrbeschlag,12,0.34375,0.067946313784858,-0.0802756348559873,-21.50526,12.1485,0,0.0679462906193955,-0.0802755809622251,-31.692242,29.924677,-1,0.0679462657699272,-0.0802755967650664,48.679874,19.158657,0,0,1,1,1,1,0
4548013,POINT (16.368558549588975 48.215827442777844),1,0.0,Zelinkagasse,2,6,2,0.25,mauerwerk kanal kontereskarpe minengang pulverkammer,21,0.625,0.1258404741362479,0.0138000703060396,-22.28629,12.675038,0,0.1258404547689671,0.0138000385196622,-31.466242,30.498749,-1,0.1258404550009604,0.0138000196708363,47.868244,18.432245,0,0,1,1,2,0,1
4548014,POINT (16.40761991045582 48.186975440607675),3,0.0909090909090909,Litfaßstraße,,,2,0.25,menschenskelett straße,33,1.0,-0.0127597744853043,0.0686457410317354,8.56702,-0.18920578,0,-0.0127596995402009,0.0686455347704457,-7.9326835,5.8090577,0,-0.0127597099429818,0.0686457454274221,1.8202536,-2.771697,0,0,1,1,2,0,1
4548015,POINT (16.362047025167733 48.19735276207719),4,0.1363636363636363,Rechte Wienzeile,25,27,1,0.0,münze,33,1.0,-0.1698483615030048,0.8101404882416963,5.701792,-10.927749,3,-0.1698483620259631,0.8101404937609358,5.728866,-23.117891,0,-0.1698483669076052,0.8101404932012762,7.672087,-25.159521,1,0,0,1,2,0,1
4548016,POINT (16.370390228567054 48.197796265446335),4,0.1363636363636363,Karlsgasse,,,3,0.5,menschenknochen medaille,21,0.625,-0.0043049040555644,0.0591731015624227,-19.163942,-8.472949,0,-0.0043049554208425,0.0591731576803178,-1.4370278,2.6712112,-1,-0.0043049419673622,0.0591730940096051,-2.907366,4.607629,0,0,2,1,2,0,1
4548017,POINT (16.38651267017334 48.195876515596304),3,0.0909090909090909,Ungargasse,69,,1,0.0,ziegel keramik tierknochen,27,0.8125,-0.206605042821388,-0.1942757865276538,-18.129389,4.3737483,0,-0.2066053825190199,-0.1942751354485229,-9.260409,12.421303,0,-0.2066052680450073,-0.1942752157661375,22.75627,-4.2936697,0,0,0,1,2,0,1
4548018,POINT (16.39341065582827 48.19288725060253),3,0.0909090909090909,Steingasse,,,1,0.0,münze keramik,27,0.8125,-0.4619284341303356,0.333262390691853,4.637341,-10.469209,3,-0.4619284267678357,0.3332623660873922,5.330693,-22.446524,0,-0.4619284217811913,0.3332623773531113,7.8805776,-24.251205,1,0,0,1,2,0,1
4548019,POINT (16.367606508678556 48.21082446877329),1,0.0,Am Hof,2,5,2,0.25,keramik ziegel stempel,21,0.625,-0.1672238346678765,-0.1570017755510187,4.3396654,15.452662,0,-0.1672236296934131,-0.1570019869666644,12.269617,-10.867459,0,-0.1672238557928279,-0.1570017954333969,-1.1633068,12.043988,0,0,1,1,2,0,1
4548020,POINT (16.376960346235 48.21151562385174),1,0.0,Hafnersteig,2,4,2,0.25,mauerwerk,33,1.0,0.8011318815615338,-0.2084214997512493,-11.420041,21.411325,2,0.8011318718911935,-0.2084214774364369,-21.433634,16.44583,0,0.8011318575200804,-0.2084214833961833,-4.101158,22.556135,2,0,1,1,2,0,1
4548021,POINT (16.38373611538322 48.19595270246034),3,0.0909090909090909,Reisnerstraße,59,61,2,0.25,ziegel,33,1.0,0.0510744518806828,0.0572766024772545,29.207972,5.2187176,0,0.0510742890380242,0.0572767640736584,28.051044,0.37711662,0,0.0510744465947379,0.0572765884700406,24.564415,14.66394,0,0,1,1,2,0,1
4548022,POINT (16.383137031486545 48.19543085542539),3,0.0909090909090909,Rennweg,12a,,2,0.25,straße mauerwerk münze ziegel terra sigillata keramik fibula kupfer terra nigra kupferplättchen knochen eisen,16,0.46875,0.0037144078354511,0.0753578735318628,-15.568968,-6.6807995,0,0.0037144550040076,0.0753579053746736,-5.822068,11.28131,-1,0.0037144426616101,0.0753579100975883,18.00037,-9.747009,0,0,1,1,1,1,0
4548023,POINT (16.383462060612096 48.19512083299177),3,0.0909090909090909,Rennweg,12,14,2,0.25,keramik glas ziegel terra sigillata lampe terra nigra wandmalerei münze säule glocke kupfer kupfergegenstände fibula votivtafel blei nagel kette eisen knochen stilus eisen mauerwerk straße,27,0.8125,-0.0010856384203704,0.0679207442321602,-22.463633,12.554212,0,-0.0010855776279204,0.0679207536231244,-31.67015,30.068483,-1,-0.0010856729836909,0.067920806536364,47.788338,18.061739,0,0,1,1,2,0,1
4548024,POINT (16.400690943034085 48.18825210382375),3,0.0909090909090909,Rennweg,95a,,2,0.25,straße ziegelböden,27,0.8125,-0.0028430258104822,0.0618673352502383,8.426953,-0.02201368,0,-0.0028430516304852,0.0618672908087716,-7.816375,5.872769,-1,-0.002843042820624,0.0618673953384167,1.8961116,-2.783893,0,0,1,1,2,0,1
4548025,POINT (16.395387316228963 48.19215159058165),3,0.0909090909090909,Oberzellergasse,4,,2,0.25,estrich münze keramik,27,0.8125,-0.2132626902586878,0.1828563017139791,-15.876208,3.2076278,0,-0.2132626933188691,0.1828563079349223,-1.690087,18.786,-1,-0.2132626949344233,0.1828562928799481,22.39007,0.22969851,0,0,1,1,2,0,1
