OBJECTID,SHAPE,BEZ,BEZ_N,STRNAM,HNR,HNR_BIS,FUNDKATEGORIE,FUNDKATEGORIE_N,FUNDE,FUNDE_N,DATIERUNG,DATIERUNG_N,"k-means(BEZ_N, FUNDE_N)","dbscan(BEZ_N, FUNDE_N)","agnes(BEZ_N, FUNDE_N)","k-means(BEZ_N, FUNDE_N, DATIERUNG_N)","dbscan(BEZ_N, FUNDE_N, DATIERUNG_N)","agnes(BEZ_N, FUNDE_N, DATIERUNG_N)","k-means(BEZ_N, FUNDE_N, DATIERUNG_N, FUNDKATEGORIE_N)","dbscan(BEZ_N, FUNDE_N, DATIERUNG_N, FUNDKATEGORIE_N)","agnes(BEZ_N, FUNDE_N, DATIERUNG_N, FUNDKATEGORIE_N)"
4541134,POINT (16.386163503979468 48.194992560621344),3,0.0909090909090909,Rennweg,,,1,0.0,319,0.433242506811989,32,0.96875,2,16,0,1,0,0,3,0,0
4541135,POINT (16.395392387120594 48.193224913731854),3,0.0909090909090909,Klimschgasse,25,,3,0.5,319,0.433242506811989,27,0.8125,2,16,0,1,0,0,3,0,0
4541135,POINT (16.395392387120594 48.193224913731854),3,0.0909090909090909,Klimschgasse,25,,3,0.5,457,0.6212534059945504,27,0.8125,0,20,0,1,0,0,3,0,0
4541135,POINT (16.395392387120594 48.193224913731854),3,0.0909090909090909,Klimschgasse,25,,3,0.5,103,0.1389645776566757,27,0.8125,2,22,0,1,0,0,3,0,0
4541135,POINT (16.395392387120594 48.193224913731854),3,0.0909090909090909,Klimschgasse,25,,3,0.5,428,0.5817438692098093,27,0.8125,0,35,0,1,0,0,3,0,0
4541136,POINT (16.34400902886764 48.27906745337915),19,0.8181818181818182,Leopoldsberg,,,2,0.25,677,0.9209809264305178,32,0.96875,1,-1,1,2,0,2,1,0,1
4541136,POINT (16.34400902886764 48.27906745337915),19,0.8181818181818182,Leopoldsberg,,,2,0.25,101,0.1362397820163488,32,0.96875,1,-1,1,2,-1,2,1,0,1
4541136,POINT (16.34400902886764 48.27906745337915),19,0.8181818181818182,Leopoldsberg,,,2,0.25,548,0.7452316076294278,32,0.96875,1,-1,1,2,0,2,1,0,1
4541136,POINT (16.34400902886764 48.27906745337915),19,0.8181818181818182,Leopoldsberg,,,2,0.25,583,0.7929155313351499,32,0.96875,1,-1,1,2,0,2,1,0,1
4541137,POINT (16.34841846731741 48.27534991688614),19,0.8181818181818182,Waldbachsteig,20,,1,0.0,222,0.3010899182561307,32,0.96875,1,9,1,2,0,2,1,0,1
4541138,POINT (16.43914635755832 48.256536694302426),22,0.9545454545454546,Eipeldauer Straße,,,2,0.25,564,0.7670299727520437,28,0.84375,1,77,1,2,0,2,1,0,1
4541138,POINT (16.43914635755832 48.256536694302426),22,0.9545454545454546,Eipeldauer Straße,,,2,0.25,319,0.433242506811989,28,0.84375,1,14,1,2,0,2,1,0,1
4541139,POINT (16.440163702041342 48.25972862289438),22,0.9545454545454546,Leopoldau,,,3,0.5,68,0.0912806539509536,32,0.96875,1,83,1,2,0,2,1,0,1
4541140,POINT (16.402951864650237 48.19028085826991),3,0.0909090909090909,Schlachthausgasse,,,1,0.0,457,0.6212534059945504,27,0.8125,0,20,0,1,0,0,3,0,0
4541141,POINT (16.420768516015762 48.170194599315586),11,0.4545454545454545,Simmeringer Hauptstraße,153,155,2,0.25,630,0.8569482288828338,11,0.3125,0,143,0,3,-1,3,2,0,0
4541141,POINT (16.420768516015762 48.170194599315586),11,0.4545454545454545,Simmeringer Hauptstraße,153,155,2,0.25,435,0.5912806539509536,11,0.3125,1,33,0,0,1,0,0,0,0
