OBJECTID,SHAPE,BEZ,BEZ_N,STRNAM,HNR,HNR_BIS,FUNDKATEGORIE,FUNDKATEGORIE_N,FUNDE,FUNDE_N,DATIERUNG,DATIERUNG_N,"k-means(BEZ_N, FUNDE_N)","dbscan(BEZ_N, FUNDE_N)","agnes(BEZ_N, FUNDE_N)","k-means(BEZ_N, FUNDE_N, DATIERUNG_N)","dbscan(BEZ_N, FUNDE_N, DATIERUNG_N)","agnes(BEZ_N, FUNDE_N, DATIERUNG_N)","k-means(BEZ_N, FUNDE_N, DATIERUNG_N, FUNDKATEGORIE_N)","dbscan(BEZ_N, FUNDE_N, DATIERUNG_N, FUNDKATEGORIE_N)","agnes(BEZ_N, FUNDE_N, DATIERUNG_N, FUNDKATEGORIE_N)"
4541178,POINT (16.351731511534947 48.249225887773974),19,0.8181818181818182,Formanekgasse,38,,5,1.0,186,0.2520435967302452,33,1.0,1,-1,1,2,0,2,1,-1,0
4541179,POINT (16.36314130624643 48.257783362729775),19,0.8181818181818182,Hammerschmidtgasse,26,,1,0.0,547,0.7438692098092643,21,0.625,1,-1,1,2,0,2,1,0,1
4541180,POINT (16.367717232043656 48.20697545762074),1,0.0,Bräunerstraße,14,,3,0.5,319,0.433242506811989,27,0.8125,2,2,0,1,0,0,3,0,0
4541180,POINT (16.367717232043656 48.20697545762074),1,0.0,Bräunerstraße,14,,3,0.5,644,0.8760217983651226,27,0.8125,0,27,0,3,0,0,2,0,0
4541180,POINT (16.367717232043656 48.20697545762074),1,0.0,Bräunerstraße,14,,3,0.5,568,0.7724795640326976,27,0.8125,0,28,0,3,0,0,2,0,0
4541180,POINT (16.367717232043656 48.20697545762074),1,0.0,Bräunerstraße,14,,3,0.5,715,0.9727520435967304,27,0.8125,0,26,0,3,0,0,2,0,0
4541180,POINT (16.367717232043656 48.20697545762074),1,0.0,Bräunerstraße,14,,3,0.5,428,0.5817438692098093,27,0.8125,0,13,0,1,0,0,3,0,0
4541181,POINT (16.36414915512063 48.199096057395735),6,0.2272727272727272,Linke Wienzeile,,,1,0.0,457,0.6212534059945504,27,0.8125,0,65,0,1,0,0,3,0,0
4541182,POINT (16.344017968845897 48.21221837207682),8,0.3181818181818182,Albertgasse,,,1,0.0,319,0.433242506811989,33,1.0,2,57,0,1,0,0,3,0,0
4541183,POINT (16.359257150326023 48.21402783748402),9,0.3636363636363636,Universitätsstraße,,,1,0.0,319,0.433242506811989,27,0.8125,2,37,0,1,0,0,3,0,0
4541183,POINT (16.359257150326023 48.21402783748402),9,0.3636363636363636,Universitätsstraße,,,1,0.0,457,0.6212534059945504,27,0.8125,0,70,0,1,0,0,3,0,0
4541184,POINT (16.43246750098161 48.16169024115544),11,0.4545454545454545,Mazellegasse,,,1,0.0,288,0.3910081743869209,21,0.625,1,-1,0,1,0,0,1,0,0
4541185,POINT (16.40924480467255 48.1788338184243),11,0.4545454545454545,Geystraße,,,2,0.25,422,0.5735694822888283,21,0.625,1,33,0,2,0,0,1,0,0
4541186,POINT (16.301011631018575 48.16820836015233),12,0.4999999999999999,Premlechnergasse,,,2,0.25,696,0.946866485013624,27,0.8125,0,24,0,3,0,0,2,0,0
4541187,POINT (16.34895756898521 48.17997435051088),12,0.4999999999999999,Eichenstraße (ehemals Marx-Meidlingerstraße),1,,1,0.0,319,0.433242506811989,9,0.25,1,112,0,0,1,0,0,0,0
4541187,POINT (16.34895756898521 48.17997435051088),12,0.4999999999999999,Eichenstraße (ehemals Marx-Meidlingerstraße),1,,1,0.0,630,0.8569482288828338,9,0.25,0,-1,0,0,-1,3,0,0,0
4541188,POINT (16.341089781985705 48.18178612122083),12,0.4999999999999999,Malfattigasse,17,,3,0.5,428,0.5817438692098093,33,1.0,1,94,0,2,0,0,1,0,0
